,City Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Sept-Iles,20,CA,1568417171,81,50.2,-66.38,48.99,2.75
1,Yumen,16,CN,1568417241,20,40.29,97.04,53.2,3.27
2,Kemin,46,KG,1568417760,18,42.79,75.7,49.6,4.56
3,Georgetown,20,GY,1568417408,83,6.8,-58.16,80.6,6.93
4,Khatanga,92,RU,1568417223,86,71.98,102.47,30.88,8.34
5,Thompson,75,CA,1568417133,59,55.74,-97.86,60.8,4.7
6,Albany,40,US,1568417172,48,42.65,-73.75,66.2,8.05
7,Faanui,88,PF,1568417225,74,-16.48,-151.75,78.58,10.47
8,Mar del Plata,95,AR,1568417387,49,-46.43,-67.52,51.94,11.39
9,Sao Filipe,9,CV,1568417227,85,14.9,-24.5,77.68,18.21
10,Mataura,1,NZ,1568417762,71,-46.19,168.86,50.0,3.0
11,Luderitz,0,NA,1568417330,71,-26.65,15.16,53.6,8.05
12,Pemberton,63,AU,1568417764,98,-34.44,116.03,61.0,3.4
13,Phek,100,IN,1568417764,94,25.7,94.46,73.72,1.79
14,Tuktoyaktuk,90,CA,1568417235,87,69.44,-133.03,42.8,13.87
15,Jamestown,0,AU,1568416981,52,-33.21,138.6,67.42,6.4
16,Egvekinot,100,RU,1568417580,81,66.32,-179.17,40.6,15.37
17,Ushuaia,20,AR,1568417766,56,-54.81,-68.31,41.0,5.82
18,Dalbandin,0,PK,1568417244,12,28.9,64.41,78.4,7.36
19,Geraldton,90,CA,1568417304,100,49.72,-86.95,55.4,9.17
20,Mayo,75,CA,1568417168,32,63.59,-135.9,68.0,11.41
21,Atuona,71,PF,1568417768,69,-9.8,-139.03,79.48,9.31
22,Busselton,59,AU,1568417183,93,-33.64,115.35,63.0,8.21
23,Kahului,40,US,1568417040,55,20.89,-156.47,89.6,19.46
24,Pacific Grove,1,US,1568417300,32,36.62,-121.92,100.4,3.36
25,Punta Arenas,40,CL,1568417769,64,-53.16,-70.91,37.4,5.82
26,Manyana,40,AU,1568417770,51,-35.26,150.51,68.0,5.82
27,Barrow,0,AR,1568417228,79,-38.31,-60.23,51.04,10.85
28,Chuy,83,UY,1568417438,88,-33.69,-53.46,50.32,4.79
29,Narrabri,0,AU,1568417324,18,-30.33,149.78,68.0,8.05
30,Miedzychod,0,PL,1568417771,87,52.6,15.9,50.0,3.36
31,Puerto Ayora,20,EC,1568417236,60,-0.74,-90.35,75.2,13.87
32,Marzuq,89,YE,1568417702,31,14.4,46.47,81.28,3.78
33,Aguimes,20,ES,1568417773,69,27.91,-15.45,73.4,18.34
34,Hilo,20,US,1568416967,66,19.71,-155.08,84.2,9.17
35,Rikitea,0,PF,1568417213,77,-23.12,-134.97,72.46,14.7
36,Airai,100,TL,1568417183,31,-8.93,125.41,78.94,1.5
37,Santa Isabel do Rio Negro,96,BR,1568417774,56,-0.41,-65.02,81.64,2.84
38,Cap Malheureux,75,MU,1568417775,93,-19.98,57.61,66.2,2.24
39,Cape Town,0,ZA,1568417775,71,-33.93,18.42,55.0,6.93
40,Portland,40,US,1568417340,54,43.66,-70.25,57.0,4.7
41,Skala,0,GR,1568417777,48,36.85,22.66,66.2,5.82
42,Ginir,18,ET,1568417777,70,7.14,40.71,59.32,6.24
43,Saint-Philippe,40,CA,1568417264,59,45.36,-73.48,66.2,9.17
44,Tarko-Sale,0,RU,1568417778,91,64.92,77.78,19.0,5.7
45,Turka,100,RU,1568417778,78,52.95,108.22,46.18,14.07
46,New Norfolk,40,AU,1568417779,47,-42.78,147.06,60.01,10.29
47,Paciran,30,ID,1568417779,73,-6.9,112.33,74.62,4.99
48,Yellowknife,75,CA,1568417210,63,62.45,-114.38,62.6,10.29
49,Arraial do Cabo,75,BR,1568417107,94,-22.97,-42.02,71.6,14.99
50,Kodiak,1,US,1568417297,60,39.95,-94.76,82.0,5.82
51,Vardo,90,US,1568417235,72,39.62,-77.74,68.0,6.93
52,Butaritari,0,KI,1568417250,64,3.07,172.79,83.8,2.26
53,Victoria,90,BN,1568417211,83,5.28,115.24,80.6,1.12
54,Hermanus,100,ZA,1568417782,91,-34.42,19.24,51.01,10.33
55,Saskylakh,100,RU,1568417232,90,71.97,114.09,38.26,18.34
56,Salalah,90,OM,1568417632,83,17.01,54.1,80.6,4.7
57,Lebu,75,ET,1568417184,93,8.96,38.73,57.2,4.7
58,College,1,US,1568417018,28,64.86,-147.8,71.6,9.17
59,Te Anau,0,NZ,1568417370,74,-45.41,167.72,43.3,2.48
60,Saint George,0,GR,1568417419,43,39.45,22.34,69.8,1.21
61,Dikson,98,RU,1568417785,86,73.51,80.55,37.0,16.69
62,Salcininkai,0,LT,1568417785,87,54.3,25.38,55.99,6.93
63,Ust-Maya,100,RU,1568417785,84,60.42,134.54,37.0,10.58
64,Lompoc,1,US,1568416947,31,34.64,-120.46,93.99,10.29
65,Progreso,75,UY,1568417787,87,-34.68,-56.22,52.0,10.29
66,Tasiilaq,0,GL,1568417787,51,65.61,-37.64,35.6,2.24
67,Niihama,40,JP,1568417787,88,33.96,133.28,84.99,4.7
68,Luancheng,20,CN,1568417788,77,37.88,114.65,69.8,6.71
69,San Patricio,0,PY,1568417263,81,-26.98,-56.83,61.12,5.23
70,Inyonga,14,TZ,1568417789,44,-6.72,32.06,72.64,4.47
71,Pizarro,100,CO,1568417790,86,4.95,-77.37,78.76,12.84
72,Ciudad Guayana,96,VE,1568417790,72,8.32,-62.69,86.0,4.0
73,Severo-Kurilsk,0,RU,1568417790,88,50.68,156.12,49.6,12.59
74,Vaini,74,IN,1568417791,94,15.34,74.49,74.08,1.72
75,Mehamn,40,NO,1568417264,75,71.03,27.85,46.4,21.92
76,Pavlohrad,0,UA,1568417792,51,48.53,35.87,59.0,6.71
77,Coria,43,ES,1568417792,60,39.98,-6.54,69.01,5.99
78,Talnakh,75,RU,1568417793,92,69.49,88.39,30.2,17.9
79,Adrar,40,DZ,1568417443,18,27.87,-0.29,93.2,14.99
80,Phalombe,31,MW,1568417793,41,-15.81,35.65,71.38,2.66
81,Ribeira Grande,0,PT,1568417234,79,38.52,-28.7,71.02,11.56
82,Hobart,40,AU,1568417794,47,-42.88,147.33,60.01,10.29
83,Carnarvon,27,ZA,1568417285,37,-30.97,22.13,41.32,2.75
84,Port Elizabeth,20,US,1568417795,63,39.31,-74.98,70.0,11.41
85,Daru,72,PG,1568417795,74,-9.07,143.21,75.34,11.48
86,Port Alfred,59,ZA,1568417796,78,-33.59,26.89,57.99,5.99
87,Bluff,0,AU,1568417306,15,-23.58,149.07,76.6,6.2
88,Faaa,20,PF,1568417798,74,-17.55,-149.6,80.6,21.92
89,Cabo San Lucas,40,MX,1568416987,55,22.89,-109.91,89.01,11.41
90,Gura Calitei,5,RO,1568417799,39,45.58,27.02,66.2,6.93
91,Bonavista,0,CA,1568417387,87,48.65,-53.11,42.01,1.99
92,Bredasdorp,96,ZA,1568417249,87,-34.53,20.04,46.99,3.36
93,Norman Wells,75,CA,1568417226,71,65.28,-126.83,55.4,10.29
94,Kruisfontein,83,ZA,1568417240,88,-34.0,24.73,47.8,7.63
95,Paamiut,100,GL,1568417715,87,61.99,-49.67,39.16,17.0
96,Avarua,33,CK,1568417801,61,-21.21,-159.78,77.0,9.17
97,Kapaa,1,US,1568417252,66,22.08,-159.32,87.8,14.99
98,Yining,0,CN,1568417802,78,29.04,114.56,80.38,2.8
99,Chokurdakh,100,RU,1568417242,40,70.62,147.9,43.48,18.14
100,Salto,0,BR,1568417802,72,-23.2,-47.29,70.0,18.34
101,Brae,100,GB,1568417414,76,60.4,-1.35,53.6,17.22
102,San Rafael del Sur,40,NI,1568417804,66,11.85,-86.44,87.8,11.41
103,Tautira,20,PF,1568417263,74,-17.73,-149.15,80.6,21.92
104,Hervey Bay,0,AU,1568417588,60,-25.3,152.85,78.01,5.82
105,Romilly-sur-Seine,0,FR,1568417805,93,48.52,3.72,61.0,4.7
106,Morbach,1,DE,1568417806,100,49.52,10.62,59.0,5.32
107,Ondo,96,NG,1568417806,99,7.1,4.83,72.46,3.06
108,Kieta,99,PG,1568417286,71,-6.22,155.63,82.0,5.53
109,Yaan,90,NG,1568417662,93,7.38,8.57,74.62,8.79
110,Fortuna,1,US,1568417807,68,40.6,-124.16,71.6,16.11
111,Nabire,84,ID,1568417808,69,-3.36,135.5,76.78,3.71
112,Isoka,0,ZM,1568417808,63,-10.15,32.64,62.02,3.47
113,Ponta do Sol,51,BR,1568417346,31,-20.63,-46.0,78.04,5.32
114,Sayyan,92,YE,1568417809,60,15.17,44.32,74.44,0.81
115,Nouadhibou,0,MR,1568417541,73,20.93,-17.03,71.6,17.22
116,Samarai,96,PG,1568417289,91,-10.62,150.67,71.92,6.82
117,Hithadhoo,51,MV,1568417247,74,-0.6,73.08,83.44,9.37
118,Ikalamavony,54,MG,1568417298,70,-21.17,46.6,64.9,0.96
119,Oktyabrskiy,0,RU,1568417615,63,55.61,37.97,62.6,6.71
120,Souillac,0,FR,1568417305,60,45.6,-0.6,73.4,2.24
121,Half Moon Bay,5,US,1568417449,17,37.46,-122.43,98.01,9.17
122,Winnipeg,75,CA,1568417814,51,49.88,-97.17,63.0,16.11
123,Jiazi,100,CN,1568417814,100,19.61,110.49,78.8,1.1
124,Kawalu,73,ID,1568417814,81,-7.38,108.21,67.6,1.48
125,Matagami,75,NG,1568417815,93,9.67,8.4,66.2,5.82
126,Kaitangata,1,NZ,1568417815,54,-46.28,169.85,51.01,3.0
127,Tagusao,100,PH,1568417816,82,9.19,117.81,81.28,21.09
128,Otjiwarongo,1,NA,1568417817,25,-20.46,16.65,62.6,1.12
129,Amga,97,RU,1568417817,52,60.89,131.98,37.72,10.56
130,Sisimiut,100,GL,1568417818,81,66.94,-53.67,37.54,1.74
131,Ust-Kuyga,100,RU,1568417818,90,70.0,135.55,42.04,3.22
132,Kumba,98,CM,1568417819,94,4.64,9.44,74.08,1.12
133,Gat,20,SN,1568417819,94,14.69,-16.54,80.6,4.7
134,Lebedinyy,0,RU,1568417820,55,58.52,125.52,35.92,7.81
135,Komsomolskiy,100,RU,1568417519,96,67.55,63.78,43.66,14.07
136,Codrington,0,AU,1568417334,68,-28.95,153.24,68.0,6.93
137,Bambous Virieux,75,MU,1568417289,93,-20.34,57.76,66.99,2.24
138,Waipawa,85,NZ,1568417518,66,-39.94,176.59,59.0,2.39
139,Lavrentiya,41,RU,1568417278,82,65.58,-170.99,46.0,10.16
140,Sitka,0,US,1568417341,39,37.17,-99.65,82.0,18.99
141,Mahebourg,75,MU,1568417244,93,-20.41,57.7,66.99,2.24
142,Shimoda,40,JP,1568417529,78,34.7,138.93,75.2,19.46
143,Petropavlovsk-Kamchatskiy,0,RU,1568417823,66,53.05,158.65,50.0,4.47
144,Clyde River,75,CA,1568417824,90,70.47,-68.59,35.6,16.11
145,Lugo,0,ES,1568417825,100,43.01,-7.56,64.99,5.99
146,Solnechnyy,83,RU,1568417350,66,50.72,136.64,60.94,10.07
147,Port Lincoln,0,AU,1568417315,71,-34.72,135.86,60.4,10.22
148,Guerrero Negro,72,MX,1568417826,78,27.97,-114.04,73.0,11.34
149,Flinders,40,AU,1568417389,51,-34.58,150.85,68.0,5.82
150,Micheweni,0,TZ,1568417827,83,-4.97,39.83,77.32,9.71
151,Katsuura,20,JP,1568417314,74,33.93,134.5,78.8,4.7
152,Tecoanapa,75,MX,1568417828,70,16.99,-99.26,87.8,11.41
153,Meulaboh,94,ID,1568417125,78,4.14,96.13,79.48,8.57
154,Bathsheba,40,BB,1568417553,78,13.22,-59.52,82.4,3.36
155,Luena,0,AO,1568417829,26,-11.78,19.91,60.04,2.59
156,Narsaq,29,GL,1568417352,56,60.91,-46.05,42.8,2.24
157,Martapura,79,ID,1568417830,77,-3.41,114.85,76.42,8.23
158,Nisia Floresta,0,BR,1568417831,83,-6.09,-35.21,75.2,6.93
159,Kavieng,87,PG,1568417274,80,-2.57,150.8,82.18,9.04
160,Mareeba,0,AU,1568417832,53,-16.99,145.42,80.01,10.29
161,Myitkyina,100,MM,1568417610,99,25.38,97.4,71.92,1.72
162,Soe,1,EE,1568417833,87,57.91,26.05,48.99,11.41
163,Qaanaaq,15,GL,1568417275,57,77.48,-69.36,18.82,3.76
164,Miles City,1,US,1568417834,31,46.41,-105.84,78.8,10.29
165,Sosnovo-Ozerskoye,100,RU,1568417567,82,52.53,111.54,40.96,9.98
166,Westport,40,US,1568417375,59,41.14,-73.36,66.0,9.17
167,Caceres,55,CO,1568417835,89,5.53,-74.53,68.86,3.18
168,Miri,91,NG,1568417836,94,10.31,9.75,71.2,5.64
169,Punta Alta,0,AR,1568417564,64,-27.46,-55.82,69.8,6.93
170,Leningradskiy,65,RU,1568417336,71,69.38,178.42,38.08,3.09
171,Riosucio,40,CO,1568417837,57,5.42,-75.7,80.6,4.7
172,Alyangula,83,AU,1568417837,54,-13.85,136.42,80.6,12.75
173,Bilibino,0,RU,1568417838,23,68.06,166.44,42.58,5.03
174,Nago,5,IT,1568417658,62,45.88,10.89,71.01,0.63
175,East London,69,ZA,1568417838,66,-33.02,27.91,51.4,11.16
176,Dunedin,14,NZ,1568417288,77,-45.87,170.5,46.72,20.2
177,Pamplona,0,ES,1568417823,59,42.82,-1.64,64.99,2.24
178,Foumban,98,CM,1568417840,97,5.73,10.9,62.74,1.63
179,Riyadh,0,SA,1568417281,16,24.63,46.72,87.8,4.7
180,Mamlyutka,0,KZ,1568417841,93,54.94,68.54,50.0,6.71
181,Bouar,100,CF,1568417841,99,5.94,15.59,66.16,3.0
182,Tuatapere,0,NZ,1568417842,71,-46.13,167.69,50.0,3.0
183,Erenhot,0,CN,1568417842,29,43.65,111.97,59.32,9.06
184,Camacha,40,PT,1568417309,83,33.08,-16.33,75.2,8.05
185,Saint-Francois,0,FR,1568417323,82,46.42,3.91,60.8,3.42
186,Hasaki,75,JP,1568417349,88,35.73,140.83,72.0,9.17
187,Grand Gaube,75,MU,1568417399,93,-20.01,57.66,66.99,2.24
188,Kampong Thum,99,KH,1568417844,86,12.71,104.89,78.58,2.17
189,Kutum,72,SD,1568417845,59,14.2,24.66,77.68,1.32
190,Tak,90,TH,1568417846,94,16.87,99.12,75.2,1.12
191,Vostok,100,RU,1568417267,97,46.45,135.83,51.76,5.82
192,Itarema,52,BR,1568417846,72,-2.92,-39.92,77.32,11.43
193,Hobyo,51,SO,1568417440,87,5.35,48.53,76.06,19.84
194,Provideniya,100,RU,1568417848,72,64.42,-173.23,48.88,11.45
195,Kloulklubed,75,PW,1568417848,78,7.04,134.26,82.4,9.17
196,Cap-aux-Meules,20,CA,1568417848,81,47.38,-61.86,50.0,4.7
197,Mecca,49,SA,1568417849,50,21.43,39.83,79.12,2.24
198,Waingapu,43,ID,1568417328,72,-9.65,120.26,75.7,13.65
199,Kirkenes,100,NO,1568417850,75,69.73,30.05,44.6,10.29
200,Bontang,45,ID,1568417850,69,0.12,117.47,77.14,3.53
201,Castro,75,CL,1568417324,100,-42.48,-73.76,48.2,3.02
202,Porto Seguro,40,BR,1568417851,78,-16.44,-39.06,75.2,8.05
203,Palmer,0,AU,1568417852,72,-34.85,139.16,68.0,4.7
204,Sao Felix do Xingu,88,BR,1568417852,47,-6.64,-51.99,83.44,2.91
205,Esperance,0,AU,1568417267,82,-33.86,121.89,62.6,5.82
206,Mackay,75,CA,1568417555,51,53.65,-115.58,62.6,11.41
207,Usinsk,96,RU,1568417853,96,66.0,57.56,50.32,8.28
208,Pampa,40,US,1568417854,35,35.54,-100.96,87.8,14.99
209,Dwarka,20,IN,1568417854,78,28.58,77.04,82.4,6.93
210,Capitan Bado,42,PY,1568417855,58,-23.27,-55.53,71.38,1.99
211,Eureka,1,US,1568417159,64,40.8,-124.16,71.6,17.22
212,Deputatskiy,100,RU,1568417856,84,69.3,139.9,36.82,3.09
213,Mount Gambier,75,AU,1568417857,87,-37.83,140.78,51.8,9.17
214,Chicama,0,PE,1568417857,82,-7.84,-79.15,62.6,11.41
215,Kungurtug,100,RU,1568417858,86,50.6,97.53,33.58,2.51
216,Klaksvik,82,FO,1568417355,76,62.23,-6.59,50.0,12.75
217,Yerbogachen,65,RU,1568417859,90,61.28,108.01,25.3,2.66
218,Parana,75,BR,1568417859,83,-7.52,-72.89,77.0,5.82
219,Pergamino,4,AR,1568417860,70,-33.9,-60.57,55.99,4.0
220,Iqaluit,40,CA,1568417861,80,63.75,-68.52,39.2,14.99
221,Alofi,75,NU,1568417567,74,-19.06,-169.92,80.6,10.29
222,Hereford,0,GB,1568417862,86,52.06,-2.72,53.01,2.21
223,Carambei,16,BR,1568417862,92,-24.92,-50.1,60.04,6.17
224,Nanortalik,20,GL,1568417863,87,60.14,-45.24,38.08,4.47
225,Port Hardy,90,CA,1568417863,100,50.7,-127.42,55.4,5.82
226,Pangoa,86,PE,1568417864,96,-12.12,-73.0,67.78,2.44
227,Mana,19,NG,1568417864,63,13.03,5.27,83.26,9.84
228,Tiksi,90,RU,1568417638,84,71.64,128.87,41.68,13.22
229,Sur,81,OM,1568417342,79,22.57,59.53,75.88,9.42
230,Yuksekova,40,TR,1568417866,71,37.57,44.29,55.4,4.7
231,Arys,0,KZ,1568417866,43,42.43,68.8,55.4,13.42
232,Manokwari,93,ID,1568417594,69,-0.87,134.08,78.94,3.47
233,Taoudenni,62,ML,1568417296,17,22.68,-3.98,100.54,7.99
234,Linhares,87,BR,1568417867,80,-19.38,-40.06,73.0,5.53
235,Maragogi,100,BR,1568417402,94,-9.01,-35.22,69.4,3.18
236,Caravelas,73,BR,1568417868,86,-17.73,-39.27,74.44,8.97
237,Trincomalee,83,LK,1568417868,82,8.58,81.23,76.24,5.3
238,Astoria,1,US,1568417869,82,46.19,-123.83,71.01,9.17
239,Jawhar,100,IN,1568417870,97,19.91,73.23,74.62,4.14
240,Gandajika,74,CD,1568417870,83,-6.75,23.95,70.3,2.86
241,Ostrovnoy,99,RU,1568417870,97,68.05,39.51,46.54,5.73
242,Kenora,90,CA,1568417871,93,49.76,-94.48,51.8,12.75
243,Cidreira,0,BR,1568417871,83,-30.17,-50.22,57.34,9.31
244,Lumberton,1,US,1568417872,55,30.27,-94.2,95.0,3.36
245,Buala,19,SB,1568417872,74,-8.15,159.59,83.44,9.8
246,Zhigansk,99,RU,1568417597,68,66.77,123.37,34.48,21.52
247,Hofn,60,IS,1568417274,76,64.25,-15.21,28.18,2.08
248,Padang,95,ID,1568417435,82,-0.92,100.36,79.48,16.44
249,Grindavik,90,IS,1568417874,87,63.84,-22.43,46.4,10.29
250,Hamilton,75,CA,1568417875,83,43.26,-79.87,71.01,23.04
251,Tripoli,0,GR,1568417875,48,37.51,22.37,79.0,5.82
252,Ilulissat,91,GL,1568417629,69,69.22,-51.1,33.8,7.02
253,Askiz,94,RU,1568417876,89,53.13,90.53,36.28,3.22
254,Port Keats,11,AU,1568417877,33,-14.25,129.55,80.74,12.01
255,Rypin,94,PL,1568417877,95,53.07,19.41,48.0,8.84
256,Vila,0,IT,1568417878,93,45.18,8.4,70.0,3.36
257,Broken Hill,0,AU,1568417583,62,-31.97,141.45,57.2,14.99
258,Upernavik,100,GL,1568417879,97,72.79,-56.15,28.18,18.66
259,Atbasar,90,KZ,1568417879,87,51.81,68.36,53.02,8.01
260,Hualmay,18,PE,1568417582,87,-11.1,-77.61,60.76,15.5
261,Chake Chake,6,TZ,1568417881,81,-5.25,39.77,77.68,11.18
262,Kargil,0,PK,1568417882,51,34.56,76.13,41.86,6.04
263,Alice Springs,0,AU,1568417299,13,-23.7,133.88,66.2,1.12
264,Carutapera,27,BR,1568417454,81,-1.2,-46.02,79.66,6.6
265,Dingle,100,PH,1568417284,92,11.0,122.67,75.88,8.79
266,Namibe,20,AO,1568417883,73,-15.19,12.15,67.6,14.23
267,Iquique,90,CL,1568417320,72,-20.22,-70.14,60.8,13.87
268,Codajas,17,BR,1568417884,48,-3.84,-62.06,84.52,1.28
269,Nizwa,91,OM,1568417885,41,22.93,57.53,80.92,2.77
270,Lahat,100,ID,1568417885,53,-3.78,103.55,65.8,3.47
271,Zyryanka,100,RU,1568417886,48,65.73,150.89,61.12,23.64
